Time Point,SATIRE-M,TSInet
-4315.0,1361.0439999999999,1361.130549835205
-4325.0,1361.1729999999998,1361.130549835205
-4335.0,1361.369,1361.130549835205
-4345.0,1361.4679999999998,1361.130549835205
-435.0,1361.479,1361.1299322593125
-4355.0,1361.361,1361.1264604492187
-4365.0,1361.175,1361.1264604492187
-4375.0,1361.1229999999998,1361.1264604492187
-4385.0,1361.155,1361.1264604492187
-4395.0,1361.2379999999998,1361.1264604492187
-4405.0,1361.328,1361.1210147916443
-4415.0,1361.414,1361.1183493805183
-4425.0,1361.47,1361.118349380493
-4435.0,1361.421,1361.118349380468
-4445.0,1361.2939999999999,1361.1183493805183
-445.0,1361.134,1361.1488487087051
-4455.0,1360.9779999999998,1361.2755796203612
-4465.0,1360.871,1361.2755796203612
-4475.0,1360.829,1361.2755796203612
-4485.0,1360.7779999999998,1361.2755796203612
-4495.0,1360.67,1361.2755796203612
-45.0,1360.604,1361.2923857885323
-4505.0,1360.6329999999998,1361.298859741211
-4515.0,1360.681,1361.298859741211
-4525.0,1360.704,1361.298859741211
-4535.0,1360.6870000000001,1361.298859741211
-4545.0,1360.8220000000001,1361.4166118692476
-455.0,1361.1270000000002,1361.760297607422
-4555.0,1361.336,1361.760297607422
-4565.0,1361.376,1361.760297607422
-4575.0,1361.4160000000002,1361.760297607422
-4585.0,1361.388,1361.760297607422
-4595.0,1361.3429999999998,1361.2680168871484
-4605.0,1361.2910000000002,1361.1166561584473
-4615.0,1361.2910000000002,1361.1166561584473
-4625.0,1361.3,1361.1166561584473
-4635.0,1361.3310000000001,1361.1166561584473
-4645.0,1361.34,1361.1167347608591
-465.0,1361.2820000000002,1361.1169425354003
-4655.0,1361.254,1361.1169425354003
-4665.0,1361.2939999999999,1361.1169425354003
-4675.0,1361.271,1361.1169425354003
-4685.0,1361.2920000000001,1361.1169425354003
-4695.0,1361.329,1361.1276890078527
-4705.0,1361.319,1361.1304547119141
-4715.0,1361.164,1361.1304547119141
-4725.0,1361.109,1361.1304547119141
-4735.0,1361.207,1361.1304547119141
-4745.0,1361.362,1361.1856758281383
-475.0,1361.325,1361.3028632507826
-4755.0,1361.142,1361.3028632507323
-4765.0,1360.925,1361.3028632506823
-4775.0,1360.842,1361.3028632507826
-4785.0,1360.889,1361.3029430599097
-4795.0,1361.0279999999998,1361.3120832057002
-4805.0,1361.224,1361.31259917544
-4815.0,1361.352,1361.3126245570938
-4825.0,1361.4389999999999,1361.3126354618773
-4835.0,1361.316,1361.3126248730887
-4845.0,1361.141,1361.2448075638529
-485.0,1361.024,1361.1285033569336
-4855.0,1360.882,1361.1285033569336
-4865.0,1360.7720000000002,1361.1285033569336
-4875.0,1360.852,1361.1285033569336
-4885.0,1360.987,1361.1285033569336
-4895.0,1361.0610000000001,1361.132381769476
-4905.0,1361.096,1361.1329211425782
-4915.0,1361.066,1361.1329211425782
-4925.0,1360.993,1361.1329211425782
-4935.0,1361.0710000000001,1361.1329211425782
-4945.0,1361.261,1361.1297380800513
-495.0,1361.37,1361.1249274902343
-4955.0,1361.32,1361.1249274902343
-4965.0,1361.254,1361.1249274902343
-4975.0,1361.1670000000001,1361.1249274902343
-4985.0,1361.1860000000001,1361.1249274902343
-4995.0,1361.266,1361.1295832931978
-5.0,1361.283,1361.1299963989259
-5005.0,1361.135,1361.1299963989259
-5015.0,1360.984,1361.1299963989259
-5025.0,1360.94,1361.1299963989259
-5035.0,1361.02,1361.2745915568646
-5045.0,1361.1270000000002,1361.4546026382573
-505.0,1361.254,1361.454602638232
-5055.0,1361.3,1361.4546026382573
-5065.0,1361.229,1361.454602638232
-5075.0,1361.1979999999999,1361.4546026384828
-5085.0,1361.14,1361.3477338667026
-5095.0,1360.993,1361.3434136047363
-5105.0,1360.963,1361.3434136047363
